	A1	A2	A3	B1	B2	B3	C1	C2	C3
gene_4932	44	25	36	42	28	39	47	20	53
gene_4933	13	10	11	6	39	36	7	30	17
gene_4934	64	55	72	69	58	64	64	52	67
gene_4935	1	0	1	8	0	7	8	5	2
gene_4936	88	76	122	98	104	119	116	90	91
gene_4937	156	154	181	166	163	163	148	145	153
gene_4938	81	76	107	120	130	69	117	99	150
gene_4939	224	106	319	24	359	249	393	311	26
gene_4940	64	67	65	76	53	61	62	70	62
gene_4941	60	73	61	40	86	92	66	99	156
gene_4942	15	3	39	17	30	28	27	9	42
gene_4943	0	2	0	0	5	1	5	1	3
gene_4944	0	1	2	1	2	3	1	0	2
gene_4945	1	0	0	0	4	0	0	2	0
gene_4946	46	67	54	60	55	37	47	59	36
gene_4947	178	174	145	182	157	173	344	119	178
gene_4948	30	20	25	23	24	24	34	16	23
gene_4949	6	2	1	0	0	12	9	0	0
gene_4950	4	3	7	8	21	4	8	16	11
gene_4951	483	128	147	231	77	255	107	43	149
gene_4952	155	174	158	159	150	153	164	167	176
gene_4953	78	50	87	64	52	125	115	186	62
gene_4954	0	0	1	0	0	2	0	1	1
gene_4955	2	1	5	3	6	0	12	0	9
gene_4956	0	1	0	0	6	1	5	3	0
gene_4957	2	3	2	1	1	6	5	2	0
gene_4958	29	48	48	35	49	40	56	27	36
gene_4959	1	0	0	3	0	2	0	0	0
gene_4960	61	67	73	48	71	69	63	70	72
gene_4961	65	95	118	50	60	36	78	77	80
gene_4962	207	278	302	280	298	305	294	300	255
gene_4963	9	17	22	11	14	14	24	18	23
gene_4964	57	82	53	42	52	52	52	62	84
gene_4965	99	147	78	101	116	103	99	82	106
gene_4966	10	8	20	22	27	25	27	18	38
gene_4967	10	10	20	7	12	96	77	29	38
gene_4968	29	20	22	34	33	24	23	31	34
gene_4969	209	303	122	129	197	187	31	377	32
gene_4970	30	32	30	31	19	24	44	30	38
gene_4971	33	51	60	43	45	68	66	71	51
gene_4972	149	77	178	150	137	105	149	158	180
gene_4973	0	2	1	0	7	8	0	1	0
gene_4974	5	32	1	7	3	17	5	1	8
gene_4975	32	15	30	50	0	22	13	11	13
gene_4976	2	0	0	0	0	2	0	1	0
gene_4977	1	4	2	2	7	0	2	0	1
gene_4978	4	1	4	0	3	0	1	6	5
gene_4979	0	4	2	0	0	1	1	0	2
gene_4980	666	699	432	615	502	550	444	629	539
gene_4981	100	94	89	105	115	106	105	105	115
gene_4982	211	203	150	194	189	227	168	208	171
gene_4983	23	16	12	20	9	11	25	12	8
gene_4984	1	5	0	0	0	4	1	2	1
gene_4985	1	0	1	1	0	1	1	1	0
gene_4986	51	46	64	49	75	48	48	65	47
gene_4987	134	132	125	124	172	103	91	162	165
gene_4988	93	241	241	64	115	230	160	306	123
gene_4989	0	13	49	5	21	37	35	8	22
gene_4990	110	159	105	36	80	135	30	55	102
gene_4991	11	16	4	0	2	4	20	3	0
gene_4992	3	1	8	4	0	0	6	1	5
gene_4993	36	30	53	10	20	19	12	1	25
gene_4994	19	10	17	20	12	10	11	20	27
gene_4995	1	10	11	4	0	19	2	1	0
gene_4996	6	2	1	2	4	2	1	2	4
gene_4997	4	8	6	5	7	6	3	12	11
gene_4998	98	95	29	96	63	110	77	103	148
gene_4999	151	49	79	125	63	33	60	62	78
gene_5000	156	209	212	185	186	150	172	173	223
gene_5001	130	102	150	129	133	162	162	115	131
gene_5002	0	1	0	0	0	1	2	0	0
gene_5003	0	1	2	1	3	1	0	0	0
gene_5004	100	79	99	68	101	107	96	104	89
gene_5005	130	99	63	142	89	57	72	116	195
gene_5006	17	142	133	159	92	70	88	85	90
gene_5007	2	3	0	4	14	1	0	1	3
gene_5008	213	153	156	145	152	145	207	132	170
gene_5009	11	28	3	11	32	23	11	95	42
gene_5010	27	26	39	33	37	38	39	32	37
gene_5011	4	12	13	7	25	7	21	13	11
gene_5012	34	44	23	27	41	47	31	15	27
gene_5013	5	0	0	18	0	0	4	5	0
gene_5014	1	0	0	0	0	0	1	5	0
gene_5015	2	32	1	4	4	23	10	12	0
gene_5016	186	196	181	200	152	161	184	182	165
gene_5017	1	0	0	0	0	0	0	0	0
gene_5018	13	28	77	58	137	95	37	9	52
gene_5019	68	191	137	33	73	224	239	224	59
gene_5020	0	0	1	0	4	0	0	0	0
gene_5021	0	0	0	0	0	0	0	0	5
gene_5022	0	2	3	3	5	1	1	0	2
gene_5023	20	32	10	23	55	136	5	0	4
gene_5024	139	183	198	180	70	171	85	162	121
gene_5025	410	1267	724	709	905	1781	813	893	1071
gene_5026	36	191	109	165	128	49	149	66	72
gene_5027	153	151	169	140	131	142	121	100	148
gene_5028	15	13	9	7	39	36	28	19	46
gene_5029	4	4	1	4	2	5	0	1	6
gene_5030	1	3	3	2	4	3	1	2	4
gene_5031	21	28	2	18	36	15	20	10	14
gene_5032	71	71	102	94	86	65	60	92	90
gene_5033	0	0	0	1	0	1	1	2	1
gene_5034	0	0	1	2	1	1	0	0	2
gene_5035	9	11	22	16	5	29	6	7	9
gene_5036	392	446	461	438	400	454	310	340	362
gene_5037	2	9	10	19	16	26	3	3	5
gene_5038	35	33	53	74	20	49	19	14	51
gene_5039	30	36	12	25	41	25	37	28	12
gene_5040	0	1	0	1	0	0	3	0	4
gene_5041	669	482	645	635	663	543	628	664	535
gene_5042	595	445	241	291	734	237	361	298	515
gene_5043	5	26	17	26	15	23	25	21	12
gene_5044	52	56	43	50	48	45	54	47	40
gene_5045	2	10	2	0	7	7	1	0	1
gene_5046	3	33	8	2	3	0	7	3	1
gene_5047	23	8	9	7	25	18	10	17	6
gene_5048	105	105	75	64	97	72	85	107	73
gene_5049	25	12	17	28	21	5	22	36	23
gene_5050	0	1	3	4	1	3	0	0	0
gene_5051	15	24	26	14	12	31	4	19	21
gene_5052	1182	265	430	222	516	603	1459	179	367
gene_5053	30	165	46	36	120	103	52	68	78
gene_5054	2	1	5	0	0	2	0	1	0
gene_5055	3157	2701	2689	3374	2439	2912	2852	2557	2341
gene_5056	0	23	44	14	1	53	39	10	64
gene_5057	0	0	0	0	0	0	2	1	0
gene_5058	1	14	2	3	10	8	8	8	1
gene_5059	31	75	55	43	60	45	40	30	54
gene_5060	4	4	6	3	3	5	4	11	3
gene_5061	155	60	56	142	129	71	103	104	94
gene_5062	0	0	1	2	0	0	2	1	1
gene_5063	3	3	5	0	1	2	5	0	0
gene_5064	0	4	0	2	1	0	0	0	17
gene_5065	107	75	83	195	70	126	78	89	85
gene_5066	26	86	20	21	29	56	27	24	20
gene_5067	13	24	16	14	19	8	19	21	26
gene_5068	0	0	0	0	7	1	5	0	0
gene_5069	20	32	32	33	21	33	25	15	30
gene_5070	1	2	0	0	1	3	3	0	3
gene_5071	156	188	135	167	179	162	159	131	141
gene_5072	147	195	235	292	277	238	224	228	145
gene_5073	0	1	0	0	0	0	1	9	6
gene_5074	0	5	2	1	0	0	0	0	0
gene_5075	2	0	0	1	2	3	5	2	5
gene_5076	0	1	0	0	0	0	0	3	6
gene_5077	479	266	418	316	386	362	286	331	340
gene_5078	75	40	86	36	29	141	53	96	61
gene_5079	0	1	1	1	1	1	1	0	0
gene_5080	71	62	89	91	95	68	81	65	79
gene_5081	352	216	351	247	229	283	189	224	318
gene_5082	4	0	3	1	3	0	0	1	4
gene_5083	0	0	0	2	0	2	0	1	0
gene_5084	80	66	62	49	60	48	56	49	55
gene_5085	144	76	50	106	95	80	83	87	159
gene_5086	3	1	0	1	0	2	6	1	0
gene_5087	301	237	366	255	157	100	325	171	260
gene_5088	49	58	32	31	30	36	46	36	46
gene_5089	17	11	21	11	10	12	10	18	19
gene_5090	11	22	8	19	8	13	6	6	12
gene_5091	9	30	13	13	11	7	10	16	21
gene_5092	278	390	192	446	127	315	206	207	171
gene_5093	0	1	1	0	1	3	3	5	0
gene_5094	2	2	5	0	3	1	3	2	1
gene_5095	8	11	12	4	9	8	17	8	9
gene_5096	154	214	192	235	162	206	154	171	208
gene_5097	735	727	684	656	762	705	666	809	673
gene_5098	137	552	2	14	9	4	12	141	2
gene_5099	33	26	24	26	29	30	19	20	21
gene_5100	80	67	57	50	50	60	59	51	72
gene_5101	2	0	1	3	0	1	0	0	2
gene_5102	0	0	1	0	1	1	0	1	0
gene_5103	18	24	31	29	37	26	43	29	20
gene_5104	0	10	0	14	6	0	6	1	3
gene_5105	22	0	4	11	0	23	9	77	0
gene_5106	0	2	33	5	1	0	8	0	4
gene_5107	4	4	5	11	6	4	0	3	13
gene_5108	0	0	0	0	0	4	1	0	1
gene_5109	2	1	0	0	0	1	0	0	0
gene_5110	1	0	1	11	5	3	40	1	1
gene_5111	101	112	95	101	71	120	97	102	101
gene_5112	40	36	56	41	48	81	7	43	11
gene_5113	24	47	21	51	53	47	45	35	44
gene_5114	6	3	4	4	3	7	14	6	0
gene_5115	2	3	9	4	0	2	1	0	0
gene_5116	2	0	0	0	1	0	0	1	0
gene_5117	44	35	34	50	50	41	40	38	42
gene_5118	9	10	3	0	2	0	11	42	1
gene_5119	7382	7883	853	1621	4969	3587	1790	383	1363
gene_5120	384	329	412	342	314	331	251	350	326
gene_5121	3	13	13	39	28	13	22	60	12
gene_5122	0	0	0	2	0	0	1	1	1
gene_5123	435	334	380	319	380	263	320	445	472
gene_5124	29	36	19	20	14	14	16	21	16
gene_5125	13	9	12	11	11	20	11	11	10
gene_5126	2	3	2	0	0	0	5	0	1
gene_5127	6	1	1	4	5	1	9	2	0
gene_5128	7	2	1	4	3	1	10	3	2
gene_5129	3	5	2	0	0	5	0	2	5
gene_5130	34	35	55	77	61	77	43	47	11
gene_5131	32	3	8	1	17	13	5	0	17
gene_5132	517	384	486	531	720	512	512	351	489
gene_5133	82	73	76	59	65	69	70	71	68
gene_5134	73	51	35	27	65	46	42	34	28
gene_5135	3	1	1	3	0	6	2	0	3
gene_5136	53	31	50	30	18	32	41	33	27
gene_5137	10	1	0	5	3	0	0	3	0
gene_5138	13	2	44	18	5	1	4	16	11
gene_5139	335	413	370	457	347	199	548	547	261
gene_5140	1	0	3	7	1	2	2	0	0
gene_5141	965	1062	598	735	626	625	518	873	1376
gene_5142	39	34	42	39	34	33	28	38	25
gene_5143	90	48	95	100	125	96	44	83	204
gene_5144	56	55	43	70	34	18	48	65	22
gene_5145	7	0	0	2	0	3	1	0	0
gene_5146	116	155	111	131	147	158	111	99	128
gene_5147	134	158	118	93	118	68	158	139	124
gene_5148	0	1	5	0	17	3	2	5	6
gene_5149	30	98	53	12	9	33	36	72	23
gene_5150	16	15	15	10	10	11	13	13	5
gene_5151	104	4	55	137	16	49	47	2	50
gene_5152	19	31	23	25	34	35	37	32	16
gene_5153	6	0	3	14	2	15	18	3	1
gene_5154	1	0	2	3	1	2	1	0	0
gene_5155	1	8	0	3	0	5	2	4	1
gene_5156	62	47	35	39	32	43	58	49	33
gene_5157	10	19	18	18	15	22	14	17	18
gene_5158	25	14	21	63	9	33	17	16	37
gene_5159	21	8	8	16	15	16	19	12	20
gene_5160	10	24	25	6	16	22	2	33	9
gene_5161	271	693	733	717	437	1133	1273	875	608
gene_5162	5	9	10	6	10	4	8	8	4
gene_5163	253	195	216	181	200	211	221	150	187
gene_5164	35	9	52	116	97	15	42	32	20
gene_5165	103	114	94	163	116	81	108	129	107
gene_5166	50	61	61	63	38	44	29	42	37
gene_5167	2	9	1	2	12	11	2	2	0
gene_5168	5	4	13	10	5	16	6	12	6
gene_5169	16	11	4	10	3	5	4	15	2
gene_5170	18	70	24	39	42	29	41	21	18
gene_5171	18	17	7	4	16	11	32	19	25
gene_5172	762	714	777	935	905	661	749	679	683
gene_5173	1	0	4	4	1	4	0	2	4
gene_5174	27	17	21	10	11	27	20	27	16
gene_5175	70	77	76	65	71	87	76	72	85
gene_5176	11	9	15	11	17	14	11	11	17
gene_5177	24	11	31	42	17	16	30	33	23
gene_5178	30	21	0	3	13	25	3	20	0
gene_5179	19	29	16	20	18	28	32	44	22
gene_5180	35	29	34	36	35	31	27	28	33
gene_5181	10740	12146	14935	12412	14294	30297	14423	8836	8665
gene_5182	12	18	24	24	17	27	16	20	25
gene_5183	59	63	82	76	68	90	71	53	78
gene_5184	10	14	16	11	5	9	22	8	2
gene_5185	23	12	58	11	32	32	33	29	18
gene_5186	175	159	150	238	139	219	179	199	184
gene_5187	0	0	1	0	0	1	0	3	0
gene_5188	16	12	7	12	8	10	17	11	3
gene_5189	175	168	220	218	229	168	188	201	200
gene_5190	0	3	6	0	12	6	0	0	0
gene_5191	2	1	0	0	0	8	2	0	2
gene_5192	596	999	832	950	821	748	937	802	887
gene_5193	17	19	25	10	2	15	16	8	10
gene_5194	3	15	2	11	3	5	4	5	5
gene_5195	110	117	147	125	148	123	139	102	119
gene_5196	0	0	0	0	0	2	2	1	0
gene_5197	17	2	10	11	3	0	2	8	0
gene_5198	1	0	0	4	0	0	1	6	12
gene_5199	1	0	0	0	1	0	0	0	1
gene_5200	14	21	37	24	26	13	44	17	30
gene_5201	2	0	1	5	2	8	5	3	1
gene_5202	27	15	21	35	26	30	38	32	41
gene_5203	13	9	20	20	19	38	2	16	20
gene_5204	6	4	12	2	18	3	11	13	7
gene_5205	75	123	101	139	119	94	135	84	35
gene_5206	11	4	14	10	20	5	15	2	12
gene_5207	66	38	61	43	53	32	33	52	38
gene_5208	1	2	0	0	0	1	0	0	0
gene_5209	63	37	9	17	74	11	10	14	18
gene_5210	0	1	0	1	0	2	3	0	1
gene_5211	153	119	156	131	131	190	206	130	159
gene_5212	31	124	175	51	52	69	161	57	203
gene_5213	21	20	5	25	24	11	21	5	4
gene_5214	1	2	0	2	1	0	0	0	2
gene_5215	106	131	127	116	117	123	123	99	136
gene_5216	0	9	5	0	9	5	1	1	2
gene_5217	62	126	368	112	172	408	270	195	150
gene_5218	87	94	69	77	81	123	106	63	96
gene_5219	44	10	20	27	8	19	52	24	21
gene_5220	111	40	21	41	59	60	94	63	81
gene_5221	3	4	0	3	5	0	0	0	3
gene_5222	0	0	6	1	4	0	0	0	2
gene_5223	21	39	59	36	53	28	68	22	25
gene_5224	0	0	0	0	2	0	0	11	2
gene_5225	5	2	1	1	2	6	3	4	2
gene_5226	0	1	1	0	1	7	0	1	1
gene_5227	65	72	64	65	76	71	54	50	60
gene_5228	37	57	26	42	34	13	41	58	42
gene_5229	628	676	590	684	683	756	630	706	627
gene_5230	18	31	11	37	24	18	27	28	22
gene_5231	210	221	257	249	291	250	217	158	228
gene_5232	45	11	17	23	31	53	28	49	25
gene_5233	64	92	79	80	88	64	56	26	80
gene_5234	16	12	27	38	0	6	59	7	11
gene_5235	8	26	24	9	6	18	20	14	7
gene_5236	5	12	1	16	7	1	8	11	8
gene_5237	4	1	1	5	4	2	5	0	1
gene_5238	80	65	45	54	67	74	28	77	53
gene_5239	22	14	46	32	21	19	20	23	15
gene_5240	2	2	2	0	0	2	0	0	2
gene_5241	0	7	0	10	5	2	3	5	2
gene_5242	37	35	50	30	39	50	45	44	38
gene_5243	256	478	346	230	316	308	333	399	228
gene_5244	3	2	11	2	0	0	1	1	7
gene_5245	108	110	86	137	104	122	79	106	70
gene_5246	0	2	0	1	0	0	0	0	1
gene_5247	35	34	30	12	24	32	34	23	42
gene_5248	1	0	12	0	0	0	0	1	1
gene_5249	2400	1396	1023	1059	1107	1500	1224	1920	824
gene_5250	0	0	0	0	2	1	0	0	10
gene_5251	0	0	1	19	0	4	8	0	0
gene_5252	10	7	3	7	3	7	2	3	1
gene_5253	0	1	0	0	0	0	2	0	5
gene_5254	5	8	0	19	28	5	24	8	9
gene_5255	63	59	64	51	47	53	84	49	90
gene_5256	41	48	46	104	37	49	35	47	49
gene_5257	67	88	70	84	97	78	81	70	85
gene_5258	0	5	0	1	0	4	0	1	1
gene_5259	22	36	35	18	16	35	22	28	34
gene_5260	93	108	112	94	118	89	116	92	104
gene_5261	242	85	131	197	132	135	134	90	109
gene_5262	5	4	4	5	2	8	8	4	4
gene_5263	46	64	35	26	54	48	63	36	59
gene_5264	19	11	18	4	62	0	11	70	33
gene_5265	0	1	0	1	1	0	0	0	0
gene_5266	42	21	20	21	17	46	14	30	36
gene_5267	81	99	68	59	93	81	71	67	86
gene_5268	106	140	214	150	189	273	254	259	226
gene_5269	2	1	1	2	5	3	6	2	2
gene_5270	0	0	1	4	0	5	3	1	0
gene_5271	0	6	0	1	0	2	0	12	0
gene_5272	75	66	95	88	54	69	79	45	76
gene_5273	146	173	156	167	151	135	146	150	188
gene_5274	658	696	442	1123	568	974	310	1093	693
gene_5275	1	11	0	1	3	8	0	5	9
gene_5276	6	15	24	25	27	22	15	19	23
gene_5277	21	17	25	20	15	16	22	23	21
gene_5278	35	31	19	18	15	28	19	18	13
gene_5279	44	49	23	50	42	69	26	110	37
gene_5280	8	11	2	21	4	1	6	21	0
gene_5281	31	34	41	65	52	61	46	39	39
gene_5282	2	1	15	0	3	2	0	0	0
gene_5283	94	70	127	86	102	80	113	93	84
gene_5284	15	0	1	5	1	1	11	5	2
gene_5285	46	32	127	45	90	150	122	76	124
gene_5286	137	204	217	116	159	122	137	109	153
gene_5287	0	17	0	0	5	0	1	0	6
gene_5288	3	0	0	0	0	0	11	2	0
gene_5289	93	109	103	111	96	93	117	108	82
gene_5290	372	420	188	240	273	503	152	156	534
gene_5291	25	15	3	4	1	14	16	22	0
gene_5292	39	53	48	44	95	40	117	19	58
gene_5293	39	48	40	49	47	45	42	42	48
gene_5294	74	77	65	54	73	87	86	62	78
gene_5295	1	1	0	3	1	5	2	3	0
gene_5296	0	10	2	0	0	0	8	0	0
gene_5297	24	2	6	10	3	24	44	4	15
gene_5298	2	1	3	1	3	0	4	3	3
gene_5299	0	1	4	0	2	1	0	0	0
gene_5300	66	52	64	61	44	57	54	28	44
gene_5301	51	109	39	12	45	20	8	34	47
gene_5302	29	44	71	48	56	34	63	64	49
gene_5303	0	1	0	0	3	1	0	0	6
gene_5304	1	4	2	1	8	0	4	4	1
gene_5305	177	125	59	96	113	69	55	99	201
gene_5306	2	4	7	3	2	9	5	7	3
gene_5307	0	31	10	0	0	6	19	21	9
gene_5308	1	17	4	23	9	27	18	25	20
gene_5309	0	0	0	0	1	0	1	2	2
gene_5310	2	0	3	5	9	0	0	0	0
gene_5311	1668	1658	1250	1613	1303	1662	1726	2031	1891
gene_5312	37	27	33	38	38	33	43	30	36
gene_5313	24	23	18	35	27	30	27	16	22
gene_5314	43	90	23	21	35	22	34	24	39
gene_5315	0	0	0	1	0	0	0	0	0
gene_5316	0	0	0	1	0	0	0	0	0
gene_5317	27	54	38	88	32	86	41	67	60
gene_5318	6	3	21	43	15	18	16	15	32
gene_5319	64	131	71	116	112	98	104	83	74
gene_5320	95	242	172	166	170	56	173	217	202
gene_5321	41	3	16	0	3	4	0	14	0
gene_5322	12	16	10	15	18	19	14	20	26
gene_5323	16	18	36	14	12	15	8	15	24
gene_5324	98	85	90	101	108	114	99	100	102
gene_5325	71	71	61	73	59	55	57	48	56
gene_5326	230	109	171	418	261	59	234	338	53
gene_5327	38	61	49	45	53	74	41	118	72
gene_5328	157	140	141	116	150	143	129	159	152
gene_5329	61	50	59	54	55	46	79	60	57
gene_5330	0	0	0	2	1	1	1	2	1
gene_5331	1	0	2	0	2	6	1	3	1
gene_5332	37	42	31	24	41	8	2	20	3
gene_5333	1	13	1	1	0	9	4	3	5
gene_5334	0	45	1	8	3	23	68	40	7
gene_5335	68	34	89	21	10	25	27	60	55
gene_5336	65	9	2	20	43	475	15	156	49
gene_5337	0	2	1	0	0	0	2	1	0
gene_5338	1780	1502	2072	483	733	1079	1112	1577	955
gene_5339	15	16	24	17	27	13	16	26	8
gene_5340	2	2	4	3	4	7	3	1	0
gene_5341	36	70	54	43	45	89	62	76	41
gene_5342	3	0	1	1	1	1	0	0	1
gene_5343	0	1	0	0	1	0	1	0	0
gene_5344	10	13	11	22	14	7	4	16	3
gene_5345	50	204	95	100	169	212	78	58	68
gene_5346	65	30	111	124	87	96	44	134	130
gene_5347	1	3	4	1	1	1	0	1	8
gene_5348	6	6	3	8	3	1	11	7	8
gene_5349	51	69	26	9	10	67	110	36	56
gene_5350	0	0	0	1	2	2	2	1	0
gene_5351	3	4	2	28	5	0	4	4	13
gene_5352	55	71	71	49	77	54	74	58	59
gene_5353	63	79	77	73	65	81	64	66	68
gene_5354	5	4	1	2	6	1	1	0	3
gene_5355	5	6	13	4	3	12	6	7	8
gene_5356	56	50	54	40	55	33	42	37	50
gene_5357	2	1	0	0	1	0	1	4	0
gene_5358	79	99	102	128	105	69	117	99	99
gene_5359	27	70	30	38	36	31	41	58	84
gene_5360	0	0	1	0	0	0	7	4	2
gene_5361	31	81	52	52	51	45	65	50	75
gene_5362	0	4	3	2	4	0	1	1	1
gene_5363	39	36	17	62	31	35	75	18	36
gene_5364	119	89	145	114	120	122	113	134	130
gene_5365	0	0	1	0	0	0	0	1	0
gene_5366	513	1071	576	628	523	562	425	734	612
gene_5367	3	0	0	0	1	0	0	0	0
gene_5368	10	5	39	20	5	8	26	77	31
gene_5369	63	97	144	69	50	62	78	86	119
gene_5370	70	91	59	94	86	74	89	80	68
gene_5371	0	2	1	3	1	3	2	1	2
gene_5372	4	1	0	1	0	0	0	0	0
gene_5373	65	85	50	89	113	92	100	75	103
gene_5374	3	2	1	0	7	1	11	2	0
gene_5375	31	9	16	33	21	17	16	16	21
gene_5376	51	25	61	28	22	41	35	35	27
gene_5377	39	95	123	139	66	87	145	129	89
gene_5378	24	4	20	10	0	2	2	4	25
gene_5379	7	6	1	0	0	4	3	5	4
gene_5380	0	2	0	0	4	0	0	0	3
gene_5381	94	116	64	123	132	93	105	34	60
gene_5382	0	0	0	0	0	1	0	1	0
gene_5383	176	187	127	139	303	140	126	136	176
gene_5384	5	13	3	13	7	14	12	26	6
gene_5385	250	179	276	233	210	219	193	222	226
gene_5386	797	624	478	935	680	772	606	728	699
gene_5387	55	16	31	50	35	43	55	44	46
gene_5388	2	8	3	0	2	1	4	0	0
gene_5389	3	0	0	0	0	1	0	1	0
gene_5390	12	8	9	5	4	3	2	6	8
gene_5391	294	76	121	60	156	77	69	249	151
gene_5392	104	82	65	88	85	55	99	92	68
gene_5393	430	453	549	506	468	479	407	485	352
gene_5394	34	37	39	52	22	22	57	26	57
gene_5395	4	1	3	1	1	1	0	3	5
gene_5396	1	5	0	4	4	0	7	3	0
gene_5397	6	22	13	4	10	5	6	7	21
gene_5398	133	117	125	121	126	122	134	121	144
gene_5399	9	8	17	19	9	9	16	7	13
gene_5400	0	0	7	0	5	0	0	1	0
gene_5401	315	391	418	332	360	326	342	355	385
gene_5402	675	381	365	180	356	216	219	346	322
gene_5403	23	15	8	22	3	6	5	2	14
gene_5404	7	12	6	12	13	5	13	6	7
gene_5405	0	0	0	0	1	2	0	8	1
gene_5406	1	0	4	3	1	0	0	0	0
gene_5407	58	40	55	30	55	62	39	55	73
gene_5408	0	1	0	1	3	0	0	3	0
gene_5409	6	1	10	0	2	23	8	1	0
gene_5410	0	0	3	0	2	0	0	2	2
gene_5411	26	18	20	27	28	15	19	15	16
gene_5412	4	16	15	15	13	7	4	30	14
gene_5413	0	0	1	1	0	0	0	0	1
gene_5414	93	124	144	102	96	118	80	115	110
gene_5415	528	1782	2134	520	250	445	951	70	74
gene_5416	47	43	55	67	39	73	84	53	64
gene_5417	2	1	3	0	3	0	4	0	1
gene_5418	4	4	15	0	12	8	28	0	0
gene_5419	107	135	110	127	91	131	82	82	146
gene_5420	17	26	28	21	15	25	22	43	26
gene_5421	23	36	8	37	6	8	18	77	13
gene_5422	0	1	0	1	1	0	0	0	0
gene_5423	13	13	21	68	31	35	11	45	14
gene_5424	0	3	1	0	0	4	4	1	0
gene_5425	17	58	88	36	55	50	33	54	74
gene_5426	1	0	0	1	3	1	1	0	3
gene_5427	3	4	0	5	3	9	1	0	2
gene_5428	1	1	0	0	1	4	1	0	0
gene_5429	268	311	321	181	316	229	250	181	368
gene_5430	230	122	203	484	131	137	30	46	82
gene_5431	7	8	8	0	8	47	2	1	1
gene_5432	134	84	47	106	132	146	117	114	96
gene_5433	0	1	0	0	2	0	0	0	0
gene_5434	1	0	0	0	0	1	0	0	0
gene_5435	1	14	1	2	15	6	25	1	30
gene_5436	0	0	3	2	1	0	0	4	0
gene_5437	1	6	0	7	0	0	2	0	1
gene_5438	0	0	0	0	1	1	2	9	0
gene_5439	132	199	126	137	188	141	160	141	152
gene_5440	2938	2515	2371	2869	2637	2794	2618	2789	2448
gene_5441	65	89	92	113	179	45	139	27	110
gene_5442	32	35	38	28	22	31	38	48	34
gene_5443	9	0	0	0	5	0	0	0	0
gene_5444	39	5	44	12	26	19	8	8	16
gene_5445	3	1	1	1	1	4	1	0	5
gene_5446	9	10	0	9	2	7	3	11	2
gene_5447	41	23	41	14	35	18	35	19	29
gene_5448	9	5	5	5	11	6	5	4	16
gene_5449	0	6	3	0	10	1	0	2	12
gene_5450	22	95	51	50	30	37	101	37	5
gene_5451	4	13	2	12	7	13	0	3	25
gene_5452	39	41	30	38	37	48	27	47	28
gene_5453	146	90	184	255	108	245	192	208	121
gene_5454	192	174	200	298	192	203	256	237	265
gene_5455	24	21	22	16	16	20	16	21	15
gene_5456	53	65	55	74	90	89	45	54	75
gene_5457	121	113	48	31	110	61	57	35	93
gene_5458	36	32	48	49	49	22	61	41	35
gene_5459	44	57	39	51	48	29	39	32	55
gene_5460	3	9	6	3	4	8	12	6	7
gene_5461	125	89	129	82	109	111	109	95	121
gene_5462	23	20	8	9	6	30	4	6	24
gene_5463	1	1	3	0	2	1	3	1	1
gene_5464	166	105	120	199	210	149	239	186	232
gene_5465	0	7	5	13	10	18	12	25	1
gene_5466	74	57	62	51	56	73	46	46	91
gene_5467	58	93	50	38	38	26	80	42	55
gene_5468	27	17	19	46	6	2	29	13	27
gene_5469	0	0	0	1	1	0	1	0	1
gene_5470	12	27	14	15	11	8	16	19	16
gene_5471	18	12	9	18	14	14	16	16	23
gene_5472	28	23	75	21	30	15	81	17	29
gene_5473	11	35	18	18	17	20	15	15	28
gene_5474	4	1	0	0	0	2	1	5	0
gene_5475	39	11	21	20	22	32	24	23	32
gene_5476	0	2	0	3	0	0	1	0	3
gene_5477	5049	3554	2978	2149	2254	3312	3794	2291	2567
gene_5478	34	33	42	29	37	20	44	26	35
gene_5479	69	47	68	57	45	54	66	55	64
gene_5480	11	1	1	10	9	10	2	10	8
gene_5481	17	13	9	16	5	36	6	41	2
gene_5482	1029	896	804	856	874	926	903	845	805
gene_5483	11	10	16	16	19	21	14	18	14
gene_5484	49	37	60	57	63	64	61	33	35
gene_5485	33	20	18	20	28	13	42	68	3
gene_5486	140	125	133	102	162	115	119	116	108
gene_5487	46	35	37	49	56	30	25	41	41
gene_5488	0	0	0	1	2	2	0	0	1
gene_5489	6	18	15	26	7	9	5	15	16
gene_5490	8	9	3	7	3	4	5	2	4
gene_5491	87	87	68	77	95	115	63	113	74
gene_5492	65	61	35	32	51	38	32	50	53
gene_5493	297	446	145	327	296	479	336	265	405
gene_5494	50	49	39	49	44	55	44	48	51
gene_5495	37	22	23	13	35	30	30	27	20
gene_5496	4	4	12	4	2	3	5	3	2
gene_5497	0	15	0	0	7	4	1	0	6
gene_5498	2	2	3	0	1	2	4	5	4
gene_5499	167	185	214	200	251	216	325	163	234
gene_5500	0	3	0	0	1	0	0	1	0
gene_5501	22	23	36	39	30	33	17	27	32
gene_5502	11	20	11	10	18	16	5	12	3
gene_5503	0	3	0	0	0	3	0	0	0
gene_5504	14	53	65	15	60	12	34	25	35
gene_5505	784	1370	769	806	624	1764	930	897	548
gene_5506	50	78	60	49	88	29	75	48	53
gene_5507	3	55	23	105	19	143	36	102	110
gene_5508	1	0	0	0	3	0	0	0	1
gene_5509	0	0	0	2	7	0	0	34	15
